epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
243400017,Montpellier Méditerranée Métropole,2020-09-27,143.8,82.2,250,100
243400017,Montpellier Méditerranée Métropole,2020-09-28,139.8,83,250,100
243400017,Montpellier Méditerranée Métropole,2020-09-29,145.5,93.5,250,100
243400017,Montpellier Méditerranée Métropole,2020-09-30,155.2,94.8,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-01,160.9,91.2,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-02,180.7,143.8,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-03,192.8,188.5,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-04,193.1,188,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-05,205.4,198.9,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-06,215.7,210.3,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-07,235.2,230.8,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-08,244.8,246.9,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-09,243.6,233.6,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-10,244.1,204.3,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-11,243.9,207.5,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-12,261.6,238,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-13,274,224.9,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-14,283.4,232.3,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-15,300.1,236.2,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-16,306.1,236.2,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-17,308.8,269.5,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-18,319.6,276.3,250,100
243400017,Montpellier Méditerranée Métropole,2020-10-19,327.8,262,250,100
