epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
246300701,Clermont Auvergne Métropole,2020-09-30,169.9,56.9,250,100
246300701,Clermont Auvergne Métropole,2020-10-01,173.1,60.9,250,100
246300701,Clermont Auvergne Métropole,2020-10-02,180.5,66.3,250,100
246300701,Clermont Auvergne Métropole,2020-10-03,184.4,59.9,250,100
246300701,Clermont Auvergne Métropole,2020-10-04,186,61.5,250,100
246300701,Clermont Auvergne Métropole,2020-10-05,196.1,103.1,250,100
246300701,Clermont Auvergne Métropole,2020-10-06,208.5,125.6,250,100
246300701,Clermont Auvergne Métropole,2020-10-07,204.9,127.9,250,100
246300701,Clermont Auvergne Métropole,2020-10-08,212.7,138.1,250,100
246300701,Clermont Auvergne Métropole,2020-10-09,228.7,160.4,250,100
246300701,Clermont Auvergne Métropole,2020-10-10,236,181.6,250,100
246300701,Clermont Auvergne Métropole,2020-10-11,245.8,214.4,250,100
246300701,Clermont Auvergne Métropole,2020-10-12,270.1,240.8,250,100
246300701,Clermont Auvergne Métropole,2020-10-13,283.7,269.9,250,100
246300701,Clermont Auvergne Métropole,2020-10-14,300.8,294.5,250,100
246300701,Clermont Auvergne Métropole,2020-10-15,316.6,341.1,250,100
246300701,Clermont Auvergne Métropole,2020-10-16,338.6,399.6,250,100
246300701,Clermont Auvergne Métropole,2020-10-17,348.6,403.2,250,100
246300701,Clermont Auvergne Métropole,2020-10-18,347,390.5,250,100
246300701,Clermont Auvergne Métropole,2020-10-19,378.4,376.1,250,100
246300701,Clermont Auvergne Métropole,2020-10-20,424.2,435.3,250,100
246300701,Clermont Auvergne Métropole,2020-10-21,457.5,447.8,250,100
246300701,Clermont Auvergne Métropole,2020-10-22,491.2,432,250,100
