epci2020,Nom du groupement,dernier_jour,age_0,age_65,alerte_max_0,alerte_max_65
243300316,Bordeaux Métropole,2020-09-30,144.1,52.8,250,100
243300316,Bordeaux Métropole,2020-10-01,146.1,54.9,250,100
243300316,Bordeaux Métropole,2020-10-02,144.6,54.5,250,100
243300316,Bordeaux Métropole,2020-10-03,143.7,55.2,250,100
243300316,Bordeaux Métropole,2020-10-04,143.8,52.9,250,100
243300316,Bordeaux Métropole,2020-10-05,138.8,53.1,250,100
243300316,Bordeaux Métropole,2020-10-06,140.3,66.8,250,100
243300316,Bordeaux Métropole,2020-10-07,141.4,72.4,250,100
243300316,Bordeaux Métropole,2020-10-08,141.4,72.7,250,100
243300316,Bordeaux Métropole,2020-10-09,141.1,78.6,250,100
243300316,Bordeaux Métropole,2020-10-10,141.6,84.4,250,100
243300316,Bordeaux Métropole,2020-10-11,140,85.3,250,100
243300316,Bordeaux Métropole,2020-10-12,143.2,85.3,250,100
243300316,Bordeaux Métropole,2020-10-13,143.8,83.1,250,100
243300316,Bordeaux Métropole,2020-10-14,141.3,80.9,250,100
243300316,Bordeaux Métropole,2020-10-15,142.3,93.1,250,100
243300316,Bordeaux Métropole,2020-10-16,145.5,93.7,250,100
243300316,Bordeaux Métropole,2020-10-17,145,98.4,250,100
243300316,Bordeaux Métropole,2020-10-18,147.1,107.8,250,100
243300316,Bordeaux Métropole,2020-10-19,154.9,133.9,250,100
243300316,Bordeaux Métropole,2020-10-20,164.9,140.6,250,100
243300316,Bordeaux Métropole,2020-10-21,184.6,157.7,250,100
243300316,Bordeaux Métropole,2020-10-22,193.6,159.6,250,100
